"","x"
"1","OG0000056:"
"2","OG0000163:"
"3","OG0000205:"
"4","OG0000206:"
"5","OG0000215:"
"6","OG0000281:"
"7","OG0000430:"
"8","OG0000507:"
"9","OG0000618:"
"10","OG0000839:"
"11","OG0000840:"
"12","OG0000858:"
"13","OG0000859:"
"14","OG0000878:"
"15","OG0000879:"
"16","OG0001007:"
"17","OG0001081:"
"18","OG0001100:"
"19","OG0001159:"
"20","OG0001161:"
"21","OG0001208:"
"22","OG0001244:"
"23","OG0001305:"
"24","OG0001325:"
"25","OG0001338:"
"26","OG0001357:"
"27","OG0001454:"
"28","OG0001470:"
"29","OG0001511:"
"30","OG0001515:"
"31","OG0001516:"
"32","OG0001542:"
"33","OG0001583:"
"34","OG0001603:"
"35","OG0001659:"
"36","OG0001674:"
"37","OG0001747:"
"38","OG0001751:"
"39","OG0001808:"
"40","OG0001818:"
"41","OG0001898:"
"42","OG0001946:"
"43","OG0002001:"
"44","OG0002011:"
"45","OG0002049:"
"46","OG0002198:"
"47","OG0002242:"
"48","OG0002269:"
"49","OG0002310:"
"50","OG0002358:"
"51","OG0002536:"
"52","OG0002539:"
"53","OG0002633:"
"54","OG0002638:"
"55","OG0002647:"
"56","OG0002678:"
"57","OG0002680:"
"58","OG0002764:"
"59","OG0002767:"
"60","OG0002784:"
"61","OG0002795:"
"62","OG0002796:"
"63","OG0002797:"
"64","OG0002887:"
"65","OG0002917:"
"66","OG0002936:"
"67","OG0002941:"
"68","OG0002975:"
"69","OG0002999:"
"70","OG0003041:"
"71","OG0003053:"
"72","OG0003054:"
"73","OG0003059:"
"74","OG0003060:"
"75","OG0003069:"
"76","OG0003119:"
"77","OG0003277:"
"78","OG0003295:"
"79","OG0003335:"
"80","OG0003555:"
"81","OG0003585:"
"82","OG0003607:"
"83","OG0003608:"
"84","OG0003718:"
"85","OG0003723:"
"86","OG0003724:"
"87","OG0003907:"
"88","OG0003950:"
"89","OG0003961:"
"90","OG0003968:"
"91","OG0003969:"
"92","OG0003994:"
"93","OG0004111:"
"94","OG0004314:"
"95","OG0004394:"
"96","OG0004401:"
"97","OG0004422:"
"98","OG0004423:"
"99","OG0004437:"
"100","OG0004504:"
"101","OG0004515:"
"102","OG0004528:"
"103","OG0004532:"
"104","OG0004545:"
"105","OG0004546:"
"106","OG0004591:"
"107","OG0004596:"
"108","OG0004688:"
"109","OG0004692:"
"110","OG0008005:"
"111","OG0008006:"
"112","OG0008007:"
"113","OG0008008:"
"114","OG0008009:"
"115","OG0008010:"
"116","OG0008011:"
"117","OG0008012:"
"118","OG0008013:"
"119","OG0008014:"
"120","OG0008015:"
"121","OG0008016:"
"122","OG0008017:"
"123","OG0008018:"
"124","OG0008019:"
"125","OG0008020:"
"126","OG0008021:"
"127","OG0008022:"
"128","OG0008023:"
"129","OG0008024:"
"130","OG0008025:"
"131","OG0008026:"
"132","OG0008027:"
"133","OG0008028:"
"134","OG0008029:"
"135","OG0008030:"
"136","OG0008031:"
"137","OG0008032:"
"138","OG0008033:"
"139","OG0008034:"
"140","OG0008035:"
"141","OG0008036:"
"142","OG0008037:"
"143","OG0008038:"
"144","OG0008039:"
"145","OG0008040:"
"146","OG0008041:"
"147","OG0008042:"
"148","OG0008043:"
"149","OG0008044:"
"150","OG0008045:"
"151","OG0008046:"
"152","OG0008047:"
"153","OG0008048:"
"154","OG0008049:"
"155","OG0008050:"
"156","OG0008051:"
"157","OG0008052:"
"158","OG0008053:"
"159","OG0008054:"
"160","OG0008055:"
"161","OG0008056:"
"162","OG0008057:"
"163","OG0008058:"
"164","OG0008059:"
"165","OG0008060:"
"166","OG0008061:"
"167","OG0008062:"
"168","OG0008063:"
"169","OG0008064:"
"170","OG0008065:"
"171","OG0008066:"
"172","OG0008067:"
"173","OG0008068:"
"174","OG0008069:"
"175","OG0008070:"
"176","OG0008071:"
"177","OG0008072:"
"178","OG0008073:"
"179","OG0008074:"
"180","OG0008075:"
"181","OG0008076:"
"182","OG0008077:"
"183","OG0008078:"
"184","OG0008079:"
"185","OG0008080:"
"186","OG0008081:"
"187","OG0008082:"
"188","OG0008083:"
"189","OG0008084:"
"190","OG0008085:"
"191","OG0008086:"
"192","OG0008087:"
"193","OG0008088:"
"194","OG0008089:"
"195","OG0008090:"
"196","OG0008091:"
"197","OG0008092:"
"198","OG0008093:"
"199","OG0008094:"
"200","OG0008095:"
"201","OG0008096:"
"202","OG0008097:"
"203","OG0008098:"
"204","OG0008099:"
"205","OG0008100:"
"206","OG0008101:"
"207","OG0008102:"
"208","OG0008103:"
"209","OG0008104:"
"210","OG0008105:"
"211","OG0008106:"
"212","OG0008107:"
"213","OG0008108:"
"214","OG0008109:"
"215","OG0008110:"
"216","OG0008111:"
"217","OG0008112:"
"218","OG0008113:"
"219","OG0008114:"
"220","OG0008115:"
"221","OG0008116:"
"222","OG0008117:"
"223","OG0008118:"
"224","OG0008119:"
"225","OG0008120:"
"226","OG0008121:"
"227","OG0008122:"
"228","OG0008123:"
"229","OG0008124:"
