n       n:100      n:N50     min      median    mean       N50        max          sum
164     164        18        301      4449      14961      46038      123107       2453625       Bim1-2_S1_95/contigs.fa
136     136        14        300      2284      15820      61318      106416       2151653       Choc3-5_S2_95/contigs.fa
146     146        15        300      2574      15256      56537      116920       2227496       Choc4-2_S3_95/contigs.fa
152     152        16        302      3662      16665      52698      131020       2533179       Choc5-1_S4_95/contigs.fa
116     116        12        300      3366      18331      64128      185737       2126481       Choc6-1_S5_95/contigs.fa
158     158        21        309      7074      14480      33261      112286       2287921       GillExp13_S6_95/contigs.fa
106     106        9         318      4918      22819      78351      215650       2418875       Gris1-3_S7_95/contigs.fa
168     168        21        301      4911      13583      39396      107676       2281962       Gris1-4_S8_95/contigs.fa
97      97         6         318      1897      24962      131986     326389       2421403       Gris1-6_S9_95/contigs.fa
200     200        14        304      1815      13929      57022      193515       2785838       HK2_S10_95/contigs.fa
119     119        9         300      2415      21531      75595      571773       2562250       HK3_S11_95/contigs.fa
212     212        17        301      1949      13114      46728      248068       2780229       HK7_S12_95/contigs.fa
156     156        8         303      1217      15931      90360      294958       2485390       HK9x_S13_95/contigs.fa
194     194        27        301      6969      11804      28302      81028        2289995       Imp1-1_S14_95/contigs.fa
136     136        19        301      6482      16429      35934      109960       2234407       Imp1-6_S15_95/contigs.fa
695     695        81        304      3493      7366       15640      146118       5119443       M1-1S_S16_95/contigs.fa
50      50         5         304      10913     47489      180527     276074       2374481       M1-2G_S17_95/contigs.fa
1025    1025       35        310      1466      4546       21770      195220       4659904       M1-3S_S18_95/contigs.fa
2356    2356       218       300      1360      2874       5513       81282        6771367       M3-1G_S19_95/contigs.fa
43      43         6         338      34390     66091      189822     416419       2841951       M6-1G_S20_95/contigs.fa
5238    5238       110       300      390       913        6268       84547        4782331       M6-3G_S21_95/contigs.fa
980     980        40        301      1793      4899       15820      229803       4801107       M7-1S_S22_95/contigs.fa
49      49         8         302      23681     40873      102054     203407       2002794       MRS3-2_S23_95/contigs.fa
6582    6582       598       300      831       1706       2842       349578       11.23e6       P46G_S24_95/contigs.fa
117     117        10        302      4759      26133      103404     264716       3057675       P54G_S25_95/contigs.fa
71      71         8         302      15426     35770      116210     248218       2539697       P62G_S26_95/contigs.fa
101     101        9         303      1982      25125      97492      250837       2537625       P71S_S27_95/contigs.fa
121     121        14        312      6830      20872      47150      193961       2525548       P78S_S28_95/contigs.fa
62      62         8         302      9111      39915      104941     244126       2474764       P83G_S29_95/contigs.fa
33      33         6         414      47528     63302      133724     296614       2088990       wkB10_S30_95/contigs.fa
153     153        13        300      1581      15202      63782      132556       2325955       wkB18_S31_95/contigs.fa
117     117        11        300      3349      24489      77697      279696       2865294       wkB7_S32_95/contigs.fa
33      33         4         373      22853     58238      177441     373405       1921874       wkB8_S33_95/contigs.fa
68      68         7         314      7889      36855      107839     348140       2506203       wkB9_S34_95/contigs.fa
