7_0	5_1116	89.36	47	5	0	2	48	208	254	4e-26	93.6
7_0	5_544	82.14	28	5	0	1	28	141	168	2e-11	51.6
7_0	5_116	35.56	45	29	0	2	46	104	148	8e-05	33.9
7_0	5_1026	35.56	45	29	0	2	46	115	159	3e-04	32.3
7_0	5_1705	33.33	45	30	0	2	46	19	63	4e-04	30.8
7_0	5_348	35.56	45	29	0	2	46	224	268	4e-04	32.7
7_0	5_1027	35.56	45	29	0	2	46	202	246	4e-04	32.3
7_0	5_1102	35.56	45	29	0	2	46	224	268	4e-04	32.7
7_0	5_1033	35.56	45	29	0	2	46	224	268	4e-04	32.3
7_0	5_1707	37.84	37	23	0	10	46	6	42	6e-04	30.0
7_0	5_382	35.56	45	29	0	2	46	179	223	7e-04	32.0
7_0	5_2186	37.50	32	20	0	1	32	58	89	0.001	30.0
7_1	5_1493	82.33	481	85	0	1	481	1	481	0.0	 817
7_1	5_323	21.71	433	285	19	61	453	57	475	5e-13	67.0
7_1	5_1172	23.81	357	246	10	11	348	6	355	5e-12	63.9
7_1	5_1311	21.61	509	303	20	6	452	1	475	1e-08	53.1
7_1	5_325	22.16	361	259	13	8	356	13	363	3e-04	38.9
7_1	5_1119	21.53	404	279	10	22	400	2	392	6e-04	38.1
7_2	5_2321	75.00	32	8	0	10	41	1	32	4e-11	52.0
7_3	5_833	91.91	470	38	0	1	470	1	470	0.0	 920
7_3	5_159	22.93	314	193	12	148	444	7	288	5e-04	38.1
7_4	5_834	95.56	1485	66	0	1	1485	1	1485	0.0	2949
7_5	5_2269	81.13	53	10	0	451	503	1	53	4e-25	95.9
7_6	5_1940	88.48	191	22	0	12	202	12	202	2e-105	 302
7_7	5_320	86.26	393	54	0	1	393	18	410	0.0	 713
7_8	5_321	83.72	479	76	1	1	477	1	479	0.0	 822
7_8	5_398	40.65	337	181	7	150	467	138	474	4e-60	 204
7_8	5_940	34.16	322	189	6	154	471	108	410	2e-57	 194
7_8	5_1450	30.94	320	196	11	170	475	112	420	9e-36	 134
7_8	5_918	26.52	230	115	11	108	294	132	350	2e-05	42.4
7_9	5_322	97.20	465	13	0	1	465	1	465	0.0	 942
7_9	5_596	27.06	436	284	10	26	459	7	410	3e-44	 158
7_10	5_323	94.02	468	28	0	1	468	1	468	0.0	 897
7_10	5_1493	21.09	422	281	19	57	466	61	442	1e-10	59.3
7_10	5_1311	25.27	186	130	6	208	388	209	390	7e-06	44.3
7_10	5_1119	23.20	250	177	11	188	433	176	414	1e-05	43.5
7_10	5_690	23.30	206	141	6	207	405	213	408	4e-05	41.6
7_11	5_324	94.02	368	22	0	1	368	1	368	0.0	 722
7_12	5_325	89.13	460	49	1	1	460	1	459	0.0	 773
7_12	5_1119	36.82	440	268	4	27	459	1	437	6e-86	 270
7_12	5_1311	35.51	414	249	5	13	412	2	411	5e-80	 256
7_12	5_690	32.24	456	291	9	15	459	8	456	9e-56	 191
7_12	5_121	24.93	353	237	9	14	351	2	341	2e-18	83.6
7_12	5_1493	22.68	485	290	20	13	461	7	442	2e-07	48.9
7_13	5_1531	91.91	136	11	0	65	200	1	136	9e-84	 244
7_13	5_1015	25.00	180	111	6	40	199	39	214	4e-11	56.2
7_14	5_383	100.00	116	0	0	1	116	1	116	1e-81	 235
7_15	5_384	95.55	247	11	0	1	247	1	247	0.0	 499
7_16	5_385	92.61	176	13	0	1	176	1	176	2e-119	 336
7_17	5_386	98.78	82	1	0	1	82	1	82	4e-56	 167
7_18	5_387	86.78	121	16	0	1	121	1	121	6e-80	 231
7_19	5_388	94.06	303	18	0	1	303	1	303	0.0	 590
7_19	5_1721	47.14	297	128	1	7	303	8	275	5e-75	 231
7_19	5_1681	33.77	302	160	5	2	303	36	297	4e-56	 183
7_19	5_634	24.68	308	184	7	7	303	16	286	6e-22	89.7
7_20	5_389	95.49	266	12	0	1	266	1	266	2e-160	 447
7_20	5_1216	40.73	275	146	3	1	261	1	272	3e-71	 220
7_20	5_1073	28.28	244	167	3	12	251	6	245	1e-27	 105
7_21	5_1539	92.28	324	25	0	1	324	1	324	0.0	 615
7_21	5_1215	41.40	157	92	0	156	312	1	157	8e-40	 136
7_21	5_1074	30.32	155	107	1	158	312	6	159	3e-24	94.4
7_21	5_1583	33.08	133	84	3	1	129	1	132	7e-18	75.9
7_21	5_635	31.87	160	106	2	157	313	3	162	1e-16	72.8
7_21	5_1680	32.69	104	70	0	1	104	1	104	2e-16	72.0
7_21	5_1720	28.89	90	63	1	2	91	1	89	8e-10	53.1
7_22	5_390	83.56	298	49	0	1	298	1	298	0.0	 506
7_23	5_391	88.10	395	47	0	1	395	1	395	0.0	 666
7_24	5_392	90.88	713	65	0	1	713	1	713	0.0	1354
7_25	5_393	87.23	321	41	0	1	321	1	321	0.0	 582
7_26	5_394	90.80	337	31	0	3	339	1	337	0.0	 640
7_27	5_395	91.14	158	11	1	1	158	1	155	1e-103	 294
7_28	5_1540	89.73	146	15	0	1	146	1	146	9e-92	 263
7_30	5_396	96.38	469	17	0	1	469	1	469	0.0	 946
7_31	5_397	89.40	349	37	0	1	349	1	349	0.0	 608
7_31	5_1433	36.27	102	50	5	234	331	320	410	2e-07	48.5
7_31	5_1145	25.51	247	127	11	131	346	244	464	3e-06	44.7
7_31	5_1387	34.85	66	41	2	283	346	463	528	1e-05	43.1
7_31	5_1723	21.43	238	145	8	128	345	227	442	6e-05	40.4
7_32	5_398	89.00	482	53	0	1	482	1	482	0.0	 890
7_32	5_940	41.79	268	134	3	145	412	111	356	3e-62	 207
7_32	5_321	39.94	338	184	5	138	474	150	469	5e-62	 209
7_32	5_1450	32.20	323	195	7	156	464	110	422	2e-40	 148
7_32	5_1432	36.54	104	63	2	1	104	2	102	2e-13	66.2
7_32	5_648	28.47	137	94	2	5	141	7	139	2e-09	54.3
7_32	5_1452	27.88	104	68	3	1	102	1	99	6e-06	43.1
7_32	5_1388	30.99	71	49	0	46	116	54	124	7e-06	43.5
7_32	5_1146	22.30	139	97	3	1	135	1	132	1e-04	39.7
7_32	5_291	32.10	81	46	3	406	478	18	97	7e-04	35.4
7_33	5_1541	85.90	312	44	0	1	312	1	312	0.0	 540
7_33	5_1622	28.30	318	204	8	6	312	3	307	3e-35	 128
7_34	5_399	93.73	319	20	0	1	319	1	319	0.0	 563
7_34	5_1497	31.39	274	176	3	5	277	2	264	8e-46	 155
7_34	5_405	26.94	297	201	6	31	316	37	328	5e-17	76.6
7_34	5_400	33.85	65	43	0	201	265	189	253	2e-04	38.5
7_34	5_194	20.51	273	197	6	58	316	45	311	8e-04	36.6
7_35	5_400	90.44	272	26	0	1	272	35	306	9e-156	 437
7_35	5_194	33.72	261	173	0	9	269	50	310	8e-39	 137
7_35	5_527	40.71	113	67	0	157	269	16	128	4e-21	84.0
7_35	5_405	32.26	93	60	2	133	225	193	282	2e-08	50.8
7_35	5_399	25.86	232	138	8	1	219	55	265	1e-07	48.1
7_35	5_1497	40.74	54	32	0	155	208	188	241	2e-06	43.9
7_36	5_401	92.03	251	20	0	1	251	1	251	2e-165	 458
7_36	5_1563	46.33	177	95	0	1	177	1	177	7e-50	 161
7_36	5_1512	46.33	177	95	0	1	177	1	177	7e-50	 161
7_36	5_1498	46.33	177	95	0	1	177	1	177	7e-50	 161
7_36	5_404	32.62	233	145	3	1	226	2	229	8e-36	 127
7_36	5_1050	26.79	224	160	3	1	222	1	222	2e-26	 101
7_36	5_459	27.39	230	150	4	1	219	1	224	1e-25	99.8
7_36	5_1696	31.07	206	138	2	21	226	4	205	1e-25	98.2
